Parameter name,Repetitions,Time unit
logarithmic_cooling_scheme,10,millisecond
Instance size,Parameter,Time,Optimal solution,Best algorithm solution,Mean algorithm solution
100,14.86,365.521,36230,52453,56405
100,16.84,390.758,36230,52298,56795
100,18.82,361.246,36230,53233,58177
100,20.8,360.64,36230,50969,58066
100,22.78,358.302,36230,56366,59593
100,24.76,358.445,36230,56046,58874
100,26.74,352.711,36230,52637,59356
100,28.72,355.254,36230,55424,58592
100,30.7,353.011,36230,54193,59672
100,32.68,357.048,36230,55748,59037
100,34.66,346.823,36230,54728,56973
100,36.64,349.716,36230,50860,57694
100,38.62,352.856,36230,54221,57967
100,40.6,353.317,36230,53148,57333
100,42.58,344.429,36230,53070,59165
100,44.56,343.781,36230,56753,58961
100,46.54,352.063,36230,55020,60963
100,48.52,351.562,36230,52706,59714
100,50.5,354.357,36230,51539,56877
100,52.48,375.56,36230,52505,57803
100,54.46,362.593,36230,57048,61950
100,56.44,347.474,36230,54937,60177
100,58.42,352.56,36230,55450,59834
100,60.4,351.423,36230,54585,58671
100,62.38,352.362,36230,56343,58511
100,64.36,351.962,36230,55024,59104
100,66.34,350.666,36230,53290,59092
100,68.32,349.528,36230,52153,57365
100,70.3,351.058,36230,51066,57454
100,72.28,348.867,36230,53974,58963
100,74.26,352.221,36230,54839,60226
100,76.24,350.625,36230,56159,60332
100,78.22,350.268,36230,53935,59849
100,80.2,350.267,36230,52823,58563
100,82.18,351.263,36230,56965,61218
100,84.16,359.039,36230,52714,58684
100,86.14,348.279,36230,53158,58115
100,88.12,359.399,36230,53829,61630
100,90.1,366.869,36230,57896,61753
100,92.08,353.06,36230,54759,59344
100,94.06,348.725,36230,53193,60522
100,96.04,341.338,36230,57055,61565
100,98.02,350.367,36230,53441,58815
